time,iphone_info,package,mem,cpu,systemCpu,rxBytes,txBytes,rxTcpBytes,txTcpBytes,fps,level,batterytem
2022-05-18 21:33:35.544, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.508, 7.59, 14.35, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:36.674, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.527, 11.11, 14.29, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:37.645, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.551, 9.03, 14.84, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:38.387, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.487, 16.08, 21.68, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:39.115, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.6, 9.56, 12.5, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:39.812, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.587, 9.3, 12.4, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:40.492, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.562, 5.53, 20.16, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:41.806, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.545, 8.97, 13.79, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:42.518, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.569, 9.49, 13.14, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:43.215, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.57, 13.99, 23.08, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:43.915, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.91, 10.07, 15.11, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:44.625, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.58, 9.29, 14.29, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:45.338, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.595, 8.9, 13.01, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:46.317, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.584, 10.42, 15.77, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:47.988, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.574, 16.98, 23.77, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:49.608, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 48.051, 10.42, 17.92, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:51.226, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.749, 9.29, 17.95, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:52.748, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.684, 11.03, 19.22, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:54.094, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 48.041, 16.08, 22.61, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
